,BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,FORMATTED_ADDRESS,STATE,ZIP,COUNTY,CITY,STR_NAME,LATITUDE,LONGITUDE
32,RJM Realty Empire Inc.,Multi-family home for sale,1300000,10,8,5040,"366 Union Ave #4, Staten Island, NY 10303, USA",New York,10303,Richmond County,Staten Island,Union Ave,40.6274381,-74.1581613
33,RE MAX Edge,Multi-family home for sale,848000,5,4,2080,"544 Hinsdale St, Brooklyn, NY 11207, USA",New York,11207,Kings County,Brooklyn,Hinsdale St,40.6615475,-73.898309
34,H P Greenfield Real Estate Ltd,Co-op for sale,279000,1,1,750,"1801 Ocean Ave #4a, Brooklyn, NY 11230, USA",New York,11230,Kings County,Brooklyn,Ocean Ave,40.6179165,-73.9546305
35,Ashford Homes LLC,Condo for sale,528000,1,1,602,"1238 63rd St #432, Brooklyn, NY 11219, USA",New York,11219,Kings County,Brooklyn,63rd St,40.6275896,-74.0016198
36,Ashford Homes,Multi-family home for sale,1299888,11,4,3156,"310 Hillside Ave #312, Staten Island, NY 10304, USA",New York,10304,Richmond County,Staten Island,Hillside Ave,40.6155667,-74.0869554
37,E Realty International Corp,Co-op for sale,275000,1,1,2184,"44-55 Kissena Blvd #5f, Flushing, NY 11355, USA",New York,11355,Queens County,Flushing,Kissena Blvd,40.7528774,-73.8211834
38,Corcoran Park Slope,Condo for sale,1165000,1,1,815,"338 Berry St #4e, Brooklyn, NY 11249, USA",New York,11249,Kings County,Brooklyn,Berry St,40.711969,-73.9649468
39,Staten Island Homes Realty Corp,Multi-family home for sale,1199000,6,5,3290,"10 Simon Ct, Staten Island, NY 10307, USA",New York,10307,Richmond County,Staten Island,Simon Ct,40.5159256,-74.2361135
40,Exp Realty,Multi-family home for sale,700000,6,2,3053,"229 W Tremont Ave, Bronx, NY 10453, USA",New York,10453,Bronx County,Bronx,Tremont Ave,40.852813,-73.9176871
41,Century 21 Realty First,Multi-family home for sale,2150000,8,4,3200,"2226 63rd St, Brooklyn, NY 11204, USA",New York,11204,Kings County,Brooklyn,63rd St,40.614446,-73.9795824
42,E Realty International Corp,Multi-family home for sale,1280000,7,5,2460,"86-05 91st Ave, Jamaica, NY 11421, USA",New York,11421,Queens County,Woodhaven,91st Ave,40.688312,-73.856322
43,Brown Harris Stevens,Co-op for sale,199900,1,1,2184,"828 Gerard Ave #5f, Bronx, NY 10451, USA",New York,10451,Bronx County,Bronx,Gerard Ave,40.8260352,-73.9256625
44,Winzone Realty Inc,Co-op for sale,369000,2,1,2184,"43-40 Union St #3d, Flushing, NY 11355, USA",New York,11355,Queens County,Flushing,Union St,40.753455,-73.8209077
45,Prestige Homes Ny Inc,Multi-family home for sale,699000,4,3,1591,"111-31 141st St, Jamaica, NY 11435, USA",New York,11435,Queens County,Jamaica,141st St,40.6847504,-73.8027331
46,Brown Harris Stevens,Co-op for sale,4250000,3,2,2400,"123 Prince St Apt 1f, New York, NY 10012, USA",New York,10012,New York County,New York,Prince St,40.725464,-73.9999212
47,Weichert Realtors TMT Group,Multi-family home for sale,825000,2,2,2184,"32-39 Jordan St, Flushing, NY 11358, USA",New York,11358,Queens County,Flushing,Jordan St,40.768457,-73.789417
48,American Homes Group,Condo for sale,329000,2,1,837,"55 Austin Pl APT 4L, Staten Island, NY 10304, USA",New York,10304,Richmond County,Staten Island,Austin Pl,40.6315346,-74.0856344
49,Wonica REALTORS & Appraisers,Multi-family home for sale,889000,2,2,1520,"17 S Greenleaf Ave, Staten Island, NY 10314, USA",New York,10314,Richmond County,Staten Island,Greenleaf Ave,40.6233188,-74.1259917
50,First Class Homes Inc,Multi-family home for sale,769000,2,2,2184,"101-55 112th St, South Richmond Hill, NY 11419, USA",New York,11419,Queens County,South Richmond Hill,112th St,40.6868333,-73.8309133
51,eXp Realty BKNY,Multi-family home for sale,1200000,4,2,2536,"66 Bay 22nd St, Brooklyn, NY 11214, USA",New York,11214,Kings County,Brooklyn,22nd St,40.6042861,-74.0012526
52,VYLLA HOME,Co-op for sale,220500,2,1,900,"350 Richmond Terrace Apt 3n, Staten Island, NY 10301, USA",New York,10301,Richmond County,Staten Island,Richmond Terrace,40.6481488,-74.0847983
53,RE MAX Edge,Multi-family home for sale,1999000,3,3,2739,"259 80th St, Brooklyn, NY 11209, USA",New York,11209,Kings County,Brooklyn,80th St,40.6281691,-74.0297598
54,Douglas Elliman  -111 Fifth Ave,Co-op for sale,3250000,2,2,1300,"The Police Building, 240 Centre St #2b, New York, NY 10013, USA",New York,10013,New York County,New York,Centre St,40.7199716,-73.9980266
55,Douglas Elliman  -111 Fifth Ave,Condo for sale,1650000,2,2,1267,"473 Hicks St APT 4, Brooklyn, NY 11231, USA",New York,11231,Kings County,Brooklyn,Hicks St,40.6866098,-73.9997131
56,"Homes R Us Realty of NY, Inc.",Multi-family home for sale,1049000,4,4,2554,"342 Manhattan St, Staten Island, NY 10307, USA",New York,10307,Richmond County,Staten Island,Manhattan St,40.5016233,-74.2417531
57,American Homes Group,House for sale,998800,3,4,2400,"1191 Clove Rd, Staten Island, NY 10301, USA",New York,10301,Richmond County,Staten Island,Clove Rd,40.6175,-74.103996
58,American Homes Group,House for sale,998800,3,4,2400,"Waldron Ave, Staten Island, NY 10301, USA",New York,10301,Richmond County,Staten Island,Waldron Ave,40.618648,-74.1019085
59,DEGI - Douglas Elliman Real Estate,For sale,3150000,3,2,1952,"184 Lincoln Pl #2, Brooklyn, NY 11217, USA",New York,11217,Kings County,Brooklyn,Lincoln Pl,40.6754035,-73.9742051
