,BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,FORMATTED_ADDRESS,STATE,ZIP,COUNTY,CITY,STR_NAME,LATITUDE,LONGITUDE
1386,Weichert Realtors The Franzese Group,Multi-family home for sale,2489000,4,4,2334,"230 7th St, Brooklyn, NY 11215, USA",New York,11215,Kings County,Brooklyn,7th St,40.671985,-73.9889397
1387,JM Properties,Condo for sale,255500,1,1,950,"422 Maryland Ave #3b, Staten Island, NY 10305, USA",New York,10305,Richmond County,Staten Island,Maryland Ave,40.6077498,-74.0743086
1388,Corcoran East Side,House for sale,30000000,5,2,6000,"15 Bank St, New York, NY 10014, USA",New York,10014,New York County,New York,Bank St,40.7371772,-74.0024577
1389,COMPASS,Condo for sale,395000,3,1,2184,"233 East 86th St #5b, New York, NY 10028, USA",New York,10028,New York County,New York,86th St,40.778484,-73.9524912
1390,B Square Realty,Multi-family home for sale,1090000,5,3,2184,"507 127th St, Flushing, NY 11356, USA",New York,11356,Queens County,College Point,127th St,40.7922364,-73.8405165
1391,REALHome Services & Solutions,Multi-family home for sale,471300,4,2,2175,"672 Van Siclen Ave, Brooklyn, NY 11207, USA",New York,11207,Kings County,Brooklyn,Van Ave,40.6629386,-73.8878146
1392,Serhant,Condo for sale,9450000,2,3,3918,"60 Greene St APT 4, New York, NY 10012, USA",New York,10012,New York County,New York,Greene St,40.7228178,-74.00088
1393,Weichert Realtors The Franzese Group,House for sale,1089000,4,2,1720,"649 Bay Ridge Pkwy, Brooklyn, NY 11209, USA",New York,11209,Kings County,Brooklyn,Bay Pkwy,40.6275081,-74.018889
1394,Bedford Brownstone Realty LLC,Co-op for sale,220000,1,1,500,"767 Eastern Pkwy #1a, Brooklyn, NY 11213, USA",New York,11213,Kings County,Brooklyn,Eastern Pkwy,40.6699448,-73.9429395
1395,COMPASS,Townhouse for sale,9950000,10,10,8000,"120 E 19th St, New York, NY 10003, USA",New York,10003,New York County,New York,19th St,40.7369927,-73.9868876
1396,Joachim Realty Llc,Co-op for sale,295000,2,1,950,"234-18 131st Ave, Rosedale, NY 11422, USA",New York,11422,Queens County,Rosedale,131st Ave,40.6778447,-73.7335012
1397,Katz Realty,House for sale,1375000,5,4,2704,"19 Bascom Pl, Staten Island, NY 10314, USA",New York,10314,Richmond County,Staten Island,Bascom Pl,40.606711,-74.1447092
1398,J. Sikar Realty,Co-op for sale,399000,2,2,1050,"2944 W 5th St #19c, Brooklyn, NY 11224, USA",New York,11224,Kings County,Brooklyn,5th St,40.5776924,-73.9737314
1399,Exit Realty Private Client,Co-op for sale,219999,2,1,800,"3240 Riverdale Ave #4b, Bronx, NY 10463, USA",New York,10463,Bronx County,Bronx,Riverdale Ave,40.8833792,-73.907461
1400,Corcoran,Co-op for sale,129000,3,1,2184,"87-15 165th St #2a, Jamaica, NY 11432, USA",New York,11432,Queens County,Jamaica,165th St,40.7104509,-73.7982064
1401,COMPASS,Co-op for sale,329000,1,1,2184,"48-17 42nd St #4b, Woodside, NY 11377, USA",New York,11377,Queens County,Woodside,42nd St,40.739059,-73.9229803
1402,Herman & Co. New York,House for sale,639000,4,2,1856,"2341 Richmond Rd, Staten Island, NY 10306, USA",New York,10306,Richmond County,Staten Island,Richmond Rd,40.5774962,-74.1181004
1403,"Robert DeFalco Realty, Inc.",Contingent,750000,4,4,1240,"114 Mc Arthur Ave, Staten Island, NY 10312, USA",New York,10312,Richmond County,Staten Island,Mc Ave,40.5546832,-74.1780566
1404,Prominent Properties Sotheby's International Realty,House for sale,499999,3,2,1763,"12 Irving Pl, Staten Island, NY 10304, USA",New York,10304,Richmond County,Staten Island,Irving Pl,40.6175808,-74.0858322
1405,Douglas Elliman - Bayside,Co-op for sale,560000,2,2,2184,"11020 71st Ave Apt 330, Forest Hills, NY 11375, USA",New York,11375,Queens County,Forest Hills,71st Ave,40.7223099,-73.84153
1406,RE/MAX City Square,Townhouse for sale,1268000,3,2,1513,"102-37 68th Ave, Flushing, NY 11375, USA",New York,11375,Queens County,Forest Hills,68th Ave,40.7240812,-73.8521227
1407,BROOKLYN`S 4 U REALTY,House for sale,1899000,7,4,2800,"2719 Whitman Dr, Brooklyn, NY 11234, USA",New York,11234,Kings County,Brooklyn,Whitman Dr,40.6049921,-73.9106532
1408,Corcoran,Co-op for sale,129000,3,1,2184,"87-15 165th St #2a, Jamaica, NY 11432, USA",New York,11432,Queens County,Jamaica,165th St,40.7104509,-73.7982064
1409,NY Empire Real Estate,Co-op for sale,888000,3,2,1600,"69-10 108th St #4c, Forest Hills, NY 11375, USA",New York,11375,Queens County,Forest Hills,108th St,40.724514,-73.8458441
1410,Berkshire Hathaway HomeServices Cangiano Estates,Multi-family home for sale,2100000,20,8,7200,"7222 3rd Ave, Brooklyn, NY 11209, USA",New York,11209,Kings County,Brooklyn,3rd Ave,40.6330213,-74.0274188
1411,NoBroker,House for sale,2900000,5,2,6707,"29 Annfield Ct, Staten Island, NY 10304, USA",New York,10304,Richmond County,Staten Island,Annfield Ct,40.6000344,-74.1064235
1412,Prospes Real Estate Corp,House for sale,1250000,4,2,2184,"146-11 Delaware Ave, Flushing, NY 11355, USA",New York,11355,Queens County,Flushing,Delaware Ave,40.7562704,-73.8180817
1413,Benjamin Realty Since 1980,Condo for sale,1078000,3,2,2184,"100-25 Queens Blvd #4b, Forest Hills, NY 11375, USA",New York,11375,Queens County,Forest Hills,Queens Blvd,40.7270139,-73.8523359
1414,Keller Williams Points North,House for sale,3200000,4,4,2950,"70 81st St, Brooklyn, NY 11209, USA",New York,11209,Kings County,Brooklyn,81st St,40.6286854,-74.0372417
1415,COMPASS,Co-op for sale,555555,1,1,2184,"622 West End Ave #4a, New York, NY 10024, USA",New York,10024,New York County,New York,End Ave,40.7914938,-73.9756337
1416,Keller Williams Realty Greater Nassau,Co-op for sale,293900,1,1,2184,"35-31 85th St #6c, Jackson Heights, NY 11372, USA",New York,11372,Queens County,Jackson Heights,85th St,40.7512505,-73.8814433
1417,RE MAX Elite,House for sale,1175000,3,2,1192,"6810 Madeline Ct, Brooklyn, NY 11220, USA",New York,11220,Kings County,Brooklyn,Madeline Ct,40.6369819,-74.0276787
1418,EXIT REALTY FIRST CHOICE,Land for sale,160000,3,2,2184,"110-42 213th St, Queens Village, NY 11429, USA",New York,11429,Queens County,Queens Village,213th St,40.7066981,-73.7439122
1419,Coldwell Banker Reliable,Contingent,999999,3,2,1880,"560 Bay Ridge Ave, Brooklyn, NY 11220, USA",New York,11220,Kings County,Brooklyn,Bay Ave,40.6325838,-74.0194607
1420,Karten Real Estate Svcs LLC,House for sale,1448000,5,4,2000,"84-19 253rd St, Jamaica, NY 11426, USA",New York,11426,Queens County,Bellerose,253rd St,40.735335,-73.7142031
1421,BERGEN BASIN REALTY,House for sale,2950000,6,5,5436,"2390 National Dr, Brooklyn, NY 11234, USA",New York,11234,Kings County,Brooklyn,National Dr,40.6037688,-73.9113665
1422,EXP Realty,Co-op for sale,150000,3,1,600,"99-10 60th Ave #5l, Corona, NY 11368, USA",New York,11368,Queens County,Corona,60th Ave,40.7364499,-73.8584826
1423,DiTommaso Real Estate,Condo for sale,354900,2,1,673,"160 72nd St Apt 713, Brooklyn, NY 11209, USA",New York,11209,Kings County,Brooklyn,72nd St,40.6343667,-74.0311335
1424,Chase Global Realty Corp,Condo for sale,580000,2,2,2184,"93-05 37th Ave, Jackson Heights, NY 11372, USA",New York,11372,Queens County,Jackson Heights,37th Ave,40.7510826,-73.8738365
1425,Trademarko Realty Inc,House for sale,969000,3,2,1776,"63-44 72nd St, Flushing, NY 11379, USA",New York,11379,Queens County,Middle Village,72nd St,40.7165988,-73.883495
1426,Bayview Marketing Group LLC,Condo for sale,530000,1,1,538,"2286 Cropsey Ave #6d, Brooklyn, NY 11214, USA",New York,11214,Kings County,Brooklyn,Cropsey Ave,40.5954596,-73.9968422
1427,Winzone Realty Inc,House for sale,3900000,5,6,7723,"144-58 Boulevard, Malba, NY 11357, USA",New York,11357,Queens County,Whitestone,144 58 Boulevard,40.7924353,-73.8258362
1428,Keller Williams Realty Greater Nassau,Condo for sale,624999,3,2,2184,"1070 E 73rd St #4c, Brooklyn, NY 11234, USA",New York,11234,Kings County,Brooklyn,73rd St,40.6283771,-73.9175027
1429,VYLLA Homes,House for sale,551000,3,2,2184,"1606 E 45th St, Brooklyn, NY 11234, USA",New York,11234,Kings County,Brooklyn,45th St,40.6214749,-73.932287
1430,Corcoran East Side,Townhouse for sale,14800000,8,10,2184,"135 E 15th St, New York, NY 10003, USA",New York,10003,New York County,New York,15th St,40.7345123,-73.9874441
1431,Kismet Realty NY,House for sale,450000,3,2,1122,"102 Pilot St, Bronx, NY 10464, USA",New York,10464,Bronx County,Bronx,Pilot St,40.8408308,-73.7856681
1432,"Robert DeFalco Realty, Inc.",Condo for sale,475000,2,1,1296,"26 Katan Loop, Staten Island, NY 10308, USA",New York,10308,Richmond County,Staten Island,Katan Loop,40.5527755,-74.1539297
1433,Corcoran West Side Gallery,Condo for sale,995000,3,2,2184,"100 Manhattan Ave #4a, New York, NY 10025, USA",New York,10025,New York County,New York,Manhattan Ave,40.7974456,-73.9620195
1434,Sotheby's International Realty - East Side Manhattan Brokerage,Co-op for sale,650000,1,1,2184,"411 E 57th St #16b, New York, NY 10022, USA",New York,10022,New York County,New York,57th St,40.7582795,-73.9624506
1435,Sold By Bart R E Partners Inc,Co-op for sale,250000,2,1,2184,"83-55 Woodhaven Blvd #6k, Woodhaven, NY 11421, USA",New York,11421,Queens County,Woodhaven,Woodhaven Blvd,40.700309,-73.8535466
1436,Re/Max In The City,Co-op for sale,125000,3,1,600,"3121 Middletown Rd #1c, Bronx, NY 10461, USA",New York,10461,Bronx County,Bronx,Middletown Rd,40.8455961,-73.8264218
1437,COMPASS,Co-op for sale,2200000,3,3,2195,"336 Central Park W #3b, New York, NY 10025, USA",New York,10025,New York County,New York,Central Park W,40.7904197,-73.966175
1438,Corcoran East Side,Condo for sale,925000,2,1,2184,"200 Bowery #2c, New York, NY 10012, USA",New York,10012,New York County,New York,Bowery,40.7213854,-73.9939529
1439,Classic Home Sales,House for sale,639000,3,2,2184,"2072 E 74th St, Brooklyn, NY 11234, USA",New York,11234,Kings County,Brooklyn,74th St,40.6214608,-73.905805
1440,Sowae Corp,House for sale,215000,3,2,1509,"114-06 194th St, Jamaica, NY 11412, USA",New York,11412,Queens County,Saint Albans,194th St,40.6982271,-73.7605874
1441,"Tom Crimmins Realty, Ltd.",House for sale,2050000,6,6,5600,"254 Flagg Pl, Staten Island, NY 10304, USA",New York,10304,Richmond County,Staten Island,Flagg Pl,40.5856353,-74.1068594
1442,Jane Mosello Real Estate,Co-op for sale,279000,2,2,1050,"4320 Van Cortlandt Park E, Bronx, NY 10470, USA",New York,10470,Bronx County,Bronx,Van Park,40.898666,-73.8738365
1443,COMPASS,Condo for sale,785000,2,2,968,"16 Bay 25th St #4a, Brooklyn, NY 11214, USA",New York,11214,Kings County,Brooklyn,25th St,40.6039146,-73.9980848
1444,Ashford Homes,House for sale,669000,3,2,1312,"72 Boone St, Staten Island, NY 10314, USA",New York,10314,Richmond County,Staten Island,Boone St,40.6013797,-74.1380964
1445,Corcoran SoHo,Multi-family home for sale,3650000,4,4,2880,"35 Joralemon St, Brooklyn, NY 11201, USA",New York,11201,Kings County,Brooklyn,Joralemon St,40.6938815,-73.9983127
1446,Vandenberg -The Townhouse Experts,Townhouse for sale,6700000,4,4,3740,"51 W 95th St, New York, NY 10025, USA",New York,10025,New York County,New York,95th St,40.7918625,-73.9667605
1447,Vantage Realty Partners,Multi-family home for sale,681000,6,3,2184,"694 Ashford St, Brooklyn, NY 11207, USA",New York,11207,Kings County,Brooklyn,Ashford St,40.6648825,-73.8826911
1448,"Robert DeFalco Realty, Inc.",Multi-family home for sale,530000,2,2,1672,"87 Murdock Pl, Staten Island, NY 10303, USA",New York,10303,Richmond County,Staten Island,Murdock Pl,40.6268626,-74.1476451
1449,Corcoran SoHo,Condo for sale,1700000,2,2,1580,"984 Bergen St #1, Brooklyn, NY 11216, USA",New York,11216,Kings County,Brooklyn,Bergen St,40.6763522,-73.9543474
1450,J. Milo Real Estate Ltd,Co-op for sale,339000,1,1,1085,"9437 Shore Rd Apt C8, Brooklyn, NY 11209, USA",New York,11209,Kings County,Brooklyn,Shore Rd,40.6171201,-74.0385203
1451,Keller Williams Village Sq Rlt,House for sale,800000,3,2,1224,"1883 E 53rd St, Brooklyn, NY 11234, USA",New York,11234,Kings County,Brooklyn,53rd St,40.6125589,-73.9230425
1452,Re/Max In The City,Co-op for sale,189000,1,1,700,"6535 Broadway #1g, Bronx, NY 10471, USA",New York,10471,Bronx County,Bronx,Broadway,40.906568,-73.8968047
1453,Corcoran East Side,Co-op for sale,48000000,5,2,2184,"740 Park Ave #5, New York, NY 10021, USA",New York,10021,New York County,New York,Park Ave,40.7707516,-73.9645283
1454,Brown Harris Stevens - 445 Park Avenue,Co-op for sale,4995000,2,2,2184,"14 E 75th St #9d, New York, NY 10021, USA",New York,10021,New York County,New York,75th St,40.7737635,-73.9644574
1455,"Ed Bruno Realty, LLC",Contingent,835000,5,2,2050,"393 Guyon Ave, Staten Island, NY 10306, USA",New York,10306,Richmond County,Staten Island,Guyon Ave,40.5582716,-74.1160817
1456,Douglas Elliman - 575 Madison Ave,House for sale,999999,2,2,1198,"333 E 91st St #10b, New York, NY 10128, USA",New York,10128,New York County,New York,91st St,40.7803429,-73.947266
1457,Commerce Realty Group,Condo for sale,575000,3,2,877,"61-20 71st Ave #2f, Ridgewood, NY 11385, USA",New York,11385,Queens County,Ridgewood,71st Ave,40.7019793,-73.8942094
1458,Corcoran Bedford Stuyvesant,Pending,349750,1,1,2184,"483 17th St #2l, Brooklyn, NY 11215, USA",New York,11215,Kings County,Brooklyn,17th St,40.6585622,-73.9825211
1459,Corcoran West Side,Co-op for sale,385000,1,1,2184,"116 Pinehurst Ave, New York, NY 10033, USA",New York,10033,New York County,New York,Pinehurst Ave,40.8522694,-73.939181
1460,COMPASS,Townhouse for sale,7950000,4,2,3397,"20 Jones St, New York, NY 10014, USA",New York,10014,New York County,New York,Jones St,40.7319485,-74.0025061
1461,CHIN - Re/Max in The City,Pending,324900,2,2,1100,"5715 Mosholu Ave #6b, Bronx, NY 10471, USA",New York,10471,Bronx County,Bronx,Mosholu Ave,40.9057959,-73.90002
1462,Douglas Elliman - 1995 Broadway,Co-op for sale,175000,3,1,2184,"275 Webster Ave #6g, Brooklyn, NY 11230, USA",New York,11230,Kings County,Brooklyn,Webster Ave,40.6329634,-73.9709274
1463,Keller Williams Realty Elite,Multi-family home for sale,915999,5,3,2184,"26-39 93rd St, Flushing, NY 11369, USA",New York,11369,Queens County,East Elmhurst,93rd St,40.7618985,-73.8758538
1464,RE MAX Edge,Multi-family home for sale,1850000,12,8,5250,"1727 E 14th St, Brooklyn, NY 11229, USA",New York,11229,Kings County,Brooklyn,14th St,40.6074371,-73.9588281
1465,Douglas Elliman - New Development,Condo for sale,40000000,5,6,7488,"111 Murray St Ph 2, New York, NY 10007, USA",New York,10007,New York County,New York,Murray St,40.715351,-74.0128441
1466,CHIN - Re/Max in The City,Pending,324900,2,2,1100,"5715 Mosholu Ave #6b, Bronx, NY 10471, USA",New York,10471,Bronx County,Bronx,Mosholu Ave,40.9057959,-73.90002
1467,RE MAX Edge,Multi-family home for sale,1850000,12,8,5250,"1727 E 14th St, Brooklyn, NY 11229, USA",New York,11229,Kings County,Brooklyn,14th St,40.6074371,-73.9588281
1468,Pantiga Group Inc.,Co-op for sale,175000,1,1,800,"190 E Mosholu Pkwy S #3b, Bronx, NY 10458, USA",New York,10458,Bronx County,Bronx,Mosholu Pkwy,40.8742949,-73.883753
1469,"SBRW - SBROWNRE,LLC",Pending,850000,2,1,775,"236 E 6th St #3w, New York, NY 10003, USA",New York,10003,New York County,New York,6th St,40.7274335,-73.9892241
1470,Winzone Realty Inc,House for sale,729000,4,2,2184,"118-18 225th St, Jamaica, NY 11411, USA",New York,11411,Queens County,Cambria Heights,225th St,40.6917538,-73.7370978
1471,Douglas Elliman - 156 Montague,Townhouse for sale,5995000,6,4,4000,"136 Kane St, Brooklyn, NY 11231, USA",New York,11231,Kings County,Brooklyn,Kane St,40.6868209,-73.9988226
1472,EXP Realty,Co-op for sale,480000,2,1,2184,"6636 Yellowstone Blvd Apt 22f, Forest Hills, NY 11375, USA",New York,11375,Queens County,Forest Hills,Yellowstone Blvd,40.7291499,-73.84944
1473,Brown Harris Stevens- 3531 Johnson Avenue,House for sale,4200000,5,4,4480,"164 W 88th St, New York, NY 10024, USA",New York,10024,New York County,New York,88th St,40.788437,-73.9731887
1474,Daniel Gale Sotheby's International Realty,Townhouse for sale,1198000,4,2,2184,"68-09 Olcott St, Forest Hills, NY 11375, USA",New York,11375,Queens County,Forest Hills,Olcott St,40.7129312,-73.8561994
1475,"BEN BAY REALTY, CO.",House for sale,1848000,6,2,3676,"976 Ocean Ave, Brooklyn, NY 11226, USA",New York,11226,Kings County,Brooklyn,Ocean Ave,40.6386251,-73.9591955
1476,eXp Realty BKNY,Co-op for sale,285000,1,1,750,"1293 E 5th St #6b, Brooklyn, NY 11230, USA",New York,11230,Kings County,Brooklyn,5th St,40.6195811,-73.9706361
1477,Realty Trends Corp,Multi-family home for sale,849000,5,3,2460,"43-06 Rockaway Beach Blvd, Far Rockaway, NY 11691, USA",New York,11691,Queens County,Far Rockaway,Rockaway Blvd,40.5939428,-73.7748361
1478,COMPASS,House for sale,549000,3,2,1250,"1764 Undercliff Ave, Bronx, NY 10453, USA",New York,10453,Bronx County,Bronx,Undercliff Ave,40.8515331,-73.9197862
1479,Magic Of Great Neck Realty Inc,Co-op for sale,729000,2,2,1700,"26910 Grand Central Pkwy #12o, Queens, NY 11005, USA",New York,11005,Queens County,Floral Park,Grand Pkwy,40.7577991,-73.7159564
1480,Douglas Elliman - Bayside,Co-op for sale,199999,1,1,2184,"209-10 41st Ave #1f, Bayside, NY 11361, USA",New York,11361,Queens County,Bayside,41st Ave,40.762788,-73.7768814
1481,Douglas Elliman - 3544 Johnson Ave,House for sale,4900000,8,2,9000,"5040 Goodridge Ave, Bronx, NY 10471, USA",New York,10471,Bronx County,Bronx,Goodridge Ave,40.8983076,-73.9020849
1482,Exp Realty,Multi-family home for sale,600000,4,2,1728,"4217 Seton Ave, Bronx, NY 10466, USA",New York,10466,Bronx County,Bronx,Seton Ave,40.896179,-73.839487
1483,KELLER WILLIAMS REALTY LANDMARK II,House for sale,599000,3,1,1340,"11120 145th St, Jamaica, NY 11435, USA",New York,11435,Queens County,Jamaica,145th St,40.6860975,-73.7998859
1484,Voro Llc,Multi-family home for sale,599000,5,2,2268,"716 Decatur St, Brooklyn, NY 11233, USA",New York,11233,Kings County,Brooklyn,Decatur St,40.6835248,-73.9141078
1485,Fillmore Real Estate,Condo for sale,725000,3,2,1185,"1322 E 14th St #4b, Brooklyn, NY 11230, USA",New York,11230,Kings County,Brooklyn,14th St,40.6172572,-73.9611011
1486,BROOKLYN`S 4 U REALTY,Multi-family home for sale,1295000,3,2,2600,"2506 E 65th St, Brooklyn, NY 11234, USA",New York,11234,Kings County,Brooklyn,65th St,40.609816,-73.9084026
1487,Berkshire Hathaway HomeServices Cangiano Estates,Multi-family home for sale,798888,3,2,1500,"849 Rossville Ave, Staten Island, NY 10309, USA",New York,10309,Richmond County,Staten Island,Rossville Ave,40.5474933,-74.2098503
1488,J Milo Real Estate,House for sale,529000,3,1,1800,"89-22 210th Pl, Queens Village, NY 11427, USA",New York,11427,Queens County,Queens Village,210th Pl,40.7212998,-73.7544395
1489,"Homes R Us Realty of NY, Inc.",Multi-family home for sale,999998,3,2,2400,"327 Brehaut Ave, Staten Island, NY 10307, USA",New York,10307,Richmond County,Staten Island,Brehaut Ave,40.5114943,-74.2382685
1490,COMPASS,Pending,499000,1,1,615,"265 W 131st St #5, New York, NY 10027, USA",New York,10027,New York County,New York,131st St,40.8138919,-73.9476673
1491,RE MAX Central,Multi-family home for sale,1550000,12,7,3000,"174 Camden Ave, Staten Island, NY 10309, USA",New York,10309,Richmond County,Staten Island,Camden Ave,40.5083446,-74.2299349
1492,RE/MAX City Square,Co-op for sale,319000,2,1,2184,"6741 Burns St Apt 414, Forest Hills, NY 11375, USA",New York,11375,Queens County,Forest Hills,Burns St,40.7230399,-73.85628
1493,Ben Bay Realty Company of Staten Island LLC,Contingent,759000,3,4,1424,"419 O'Gorman Ave, Staten Island, NY 10308, USA",New York,10308,Richmond County,Staten Island,O Gorman Ave,40.552359,-74.14076
1494,JWS REALTY GROUP,Co-op for sale,245000,3,1,260,"5 Tudor City Pl #1818ny, New York, NY 10017, USA",New York,10017,New York County,New York,Tudor Pl,40.748134,-73.9708805
1495,Get Listed Get Sold NYC,Multi-family home for sale,1249000,5,3,1548,"2171 W 7th St, Brooklyn, NY 11223, USA",New York,11223,Kings County,Brooklyn,7th St,40.5946329,-73.9779295
1496,RE MAX Edge,Condo for sale,455000,2,1,939,"449 Medina St #2c, Staten Island, NY 10306, USA",New York,10306,Richmond County,Staten Island,Medina St,40.5599528,-74.1198255
1497,RE/MAX City Square,Co-op for sale,319000,2,1,2184,"6741 Burns St Apt 414, Forest Hills, NY 11375, USA",New York,11375,Queens County,Forest Hills,Burns St,40.7230399,-73.85628
1498,RE MAX Edge,Multi-family home for sale,999900,4,2,2024,"29 Bay 10th St, Brooklyn, NY 11228, USA",New York,11228,Kings County,Brooklyn,10th St,40.6101839,-74.009209
1499,JM Properties,House for sale,395000,2,1,666,"170 Baden Pl, Staten Island, NY 10306, USA",New York,10306,Richmond County,Staten Island,Baden Pl,40.5724498,-74.0909716
1500,Nestapple,Condo for sale,620000,1,1,430,"112 W 72nd St Ph C, New York, NY 10023, USA",New York,10023,New York County,New York,72nd St,40.7774399,-73.9793101
1501,Momentum Real Estate LLC,Multi-family home for sale,1295000,4,2,3264,"643 Huguenot Ave, Staten Island, NY 10312, USA",New York,10312,Richmond County,Staten Island,Huguenot Ave,40.5389259,-74.195072
1502,Ilite Realty Inc,Condo for sale,849000,3,2,1241,"398 Kings Hwy #308, Brooklyn, NY 11223, USA",New York,11223,Kings County,Brooklyn,Kings Hwy,40.604405,-73.9751935
1503,Serhant,Co-op for sale,8995000,5,4,5500,"38 W 26th St #9d, New York, NY 10010, USA",New York,10010,New York County,New York,26th St,40.7442721,-73.9907621
1504,Jnm & Associates Inc,Co-op for sale,650000,3,1,2184,"116 Cambridge Pl #3c, Brooklyn, NY 11238, USA",New York,11238,Kings County,Brooklyn,Cambridge Pl,40.6837918,-73.9631445
1505,COMPASS,Condo for sale,2995000,2,2,1452,"120 E 87th St #26b, New York, NY 10128, USA",New York,10128,New York County,New York,87th St,40.7803919,-73.9558923
1506,Douglas Elliman - Bayside,Condo for sale,495000,2,1,800,"83-71 116th St #4e, Richmond Hill, NY 11418, USA",New York,11418,Queens County,Richmond Hill,116th St,40.7045515,-73.8356118
1507,NEUHAUS REALTY INC.,House for sale,675000,3,2,1222,"7 Norwood Ct, Staten Island, NY 10304, USA",New York,10304,Richmond County,Staten Island,Norwood Ct,40.6277171,-74.0860272
1508,COMPASS,Condo for sale,999000,3,1,600,"10 West End Ave #8j, New York, NY 10023, USA",New York,10023,New York County,New York,End Ave,40.7717454,-73.9900505
1509,PPAD - Park Property Advisors,Condo for sale,2250000,2,2,1334,"415 Degraw St, Brooklyn, NY 11217, USA",New York,11217,Kings County,Brooklyn,Degraw St,40.6819719,-73.9903277
1510,RE MAX Distinguished Homes & Properties,Multi-family home for sale,1299000,9,4,3720,"790 Olmstead Ave, Bronx, NY 10473, USA",New York,10473,Bronx County,Bronx,Olmstead Ave,40.8227297,-73.8517272
1511,J. Sikar Realty,Condo for sale,429000,1,1,640,"Brightwater Towers East, 501 Surf Ave #9d, Brooklyn, NY 11224, USA",New York,11224,Kings County,Brooklyn,Surf Ave,40.5755355,-73.9735905
1512,Aschan Realty,House for sale,649999,3,2,2184,"139-32 Laurelton Pkwy, Jamaica, NY 11422, USA",New York,11422,Queens County,Rosedale,Laurelton Pkwy,40.6670008,-73.7409018
1513,Brown Harris Stevens - 1926 Broadway,Townhouse for sale,10995000,7,6,9000,"318 W 81st St, New York, NY 10024, USA",New York,10024,New York County,New York,81st St,40.7858802,-73.9811894
1514,Brown Harris Stevens - 100 Seventh Avenue,Townhouse for sale,2050000,5,4,3000,"26 Rutland Rd, Brooklyn, NY 11225, USA",New York,11225,Kings County,Brooklyn,Rutland Rd,40.6586603,-73.9595973
1515,COMPASS,Pending,1299000,4,2,1456,"100 W 119th St #3a, New York, NY 10026, USA",New York,10026,New York County,New York,119th St,40.8040587,-73.9487622
1516,"Behfar Team, Llc",House for sale,1075000,6,2,2200,"1455 E 15th St, Brooklyn, NY 11230, USA",New York,11230,Kings County,Brooklyn,15th St,40.6141979,-73.9591151
1517,TRACEY REAL ESTATE,Co-op for sale,174000,1,1,800,"3105 Ave V #1h, Brooklyn, NY 11229, USA",New York,11229,Kings County,Brooklyn,Avenue V,40.5997081,-73.9344974
1518,Connie Profaci Realty,House for sale,1193000,2,2,1518,"1085 Todt Hill Rd, Staten Island, NY 10304, USA",New York,10304,Richmond County,Staten Island,Todt Rd,40.5839283,-74.1113788
1519,Corcoran Bedford Stuyvesant,House for sale,4995000,4,4,2184,"464 1st St, Brooklyn, NY 11215, USA",New York,11215,Kings County,Brooklyn,1st St,40.6712943,-73.9771145
1520,Sotheby's International Realty - Downtown Manhattan,Townhouse for sale,12500000,9,2,10500,"180 2nd Ave, New York, NY 10003, USA",New York,10003,New York County,New York,2nd Ave,40.7305606,-73.9859258
1521,Pride Estates,House for sale,898000,5,4,2828,"185 Highland Blvd, Brooklyn, NY 11207, USA",New York,11207,Kings County,Brooklyn,Highland Blvd,40.6816001,-73.8948525
1522,Keller Williams NYC,Multi-family home for sale,1288000,5,3,1500,"147-18 16th Rd, Flushing, NY 11357, USA",New York,11357,Queens County,Whitestone,16th Rd,40.7849809,-73.8178033
1523,Prodigy Real Estate Inc.,House for sale,1749999,4,4,2600,"106 Overlook Ave, Staten Island, NY 10304, USA",New York,10304,Richmond County,Staten Island,Overlook Ave,40.595688,-74.0982331
1524,RE MAX Elite,Condo for sale,575000,2,2,1253,"10102 Shore Front Pkwy # 26a, Far Rockaway, NY 11694, USA",New York,11694,Queens County,Rockaway Park,Shore Pkwy,40.5824866,-73.8213437
1525,"Nest Seekers International, Midtown",Condo for sale,5100000,4,2,2183,"201 W 17th St, New York, NY 10011, USA",New York,10011,New York County,New York,17th St,40.7408109,-73.998475
1526,COMPASS,Condo for sale,2000000,1,2,1321,"108 Reade St #4b, New York, NY 10013, USA",New York,10013,New York County,New York,Reade St,40.7159753,-74.0083683
1527,Keller Williams Ny Realty,Co-op for sale,170000,2,1,850,"3555 Kings College Pl #2g, Bronx, NY 10467, USA",New York,10467,Bronx County,Bronx,Kings Pl,40.8813916,-73.8757001
1528,Corcoran Westside Columbus,Co-op for sale,1295000,2,2,2100,"Eagle Warehouse & Storage Company, 28 Old Fulton St, Brooklyn, NY 11201, USA",New York,11201,Kings County,Brooklyn,Old St,40.702334,-73.9937463
1529,"KMS Realty Group, Inc.",House for sale,749000,3,2,1332,"767 Brighton Ave, Staten Island, NY 10301, USA",New York,10301,Richmond County,Staten Island,Brighton Ave,40.6333903,-74.0969828
1530,Momentum Real Estate Llc,Multi-family home for sale,1848000,3,4,3640,"1862 84th St, Brooklyn, NY 11214, USA",New York,11214,Kings County,Brooklyn,84th St,40.607214,-73.9998636
1531,COMPASS,Co-op for sale,465000,2,2,2184,"420 E 51st St Apartment 10e, New York, NY 10022, USA",New York,10022,New York County,New York,51st St,40.754032,-73.965157
